customer_id,customer_unique_id,customer_city
b2d1536598b73a9abd18e0d75d92f0a3,918dc87cd72cd9f6ed4bd442ed785235,lencois paulista
6e359a57a91f84095cc64e1b351aef8c,2e6a42a9b5cbb0da62988694f18ee295,sao paulo
2d5831cb2dff7cdefba62e950ae3dc7b,e9dd12dca17352644a959d9dea133935,camacari
b2bed119388167a954382cca36c4777f,e079b18794454de9d2be5c12b4392294,resende
469634941c27cd844170935a3cf60b95,ef07ba9aa5226f77264ffa5762b2280b,curitiba
df0aa5b8586495e0ddf6b601122e43a1,85d234692f7bee8d6fea586e237334b6,sumare
19cecb194f54e614b70d971306a9931b,d251c190ca75786e9ab937982d60d1d4,belo horizonte
df85b96ba2ce3e49bde101b1614f52ac,8d46223c91cbeb93e0930ca8bd8ffca2,sao jose dos pinhais
a562ab1e728449e3461829dfe2e36f73,d33eeadf54cb883e79be640f38c32cdc,barrinha
a02f66c3af7b16eec19ddcd98b645fe3,b3548d0cec408ae13d143bb4eeebaa6c,salto
f64cdee66599119324ce57a97e43700d,d89e05e2d23c3d8247aeecd07758004b,jundiai
12d1b4294fef21016c9614eb31e55e15,7556f182460418cf30957e6ce377c674,sao vicente
38d1cd89306128348ffdf4cc23f3a50a,d491a65a6ef3c04e145d37395996bad7,sao paulo
3f6ede29d4c69cd3316d2035b6cec1fb,7a380cb5434e6b6b5b37d45bb99dbe8a,sao bernardo do campo
39c9dc82d5f60eb1ee8bc4fe4aa29dc6,1f6d48610f32c723924f9af3e88f1c64,sao paulo
3ccb27f9c7ee205656acef98c19fc061,f32cdbbeca0aba5358bddc018dd12b09,porto alegre
faafae37ddb3e4af81c10a397bcca35f,1a7a10e9273fca58179bdd0d40843b0c,guarulhos
a6c49eaa9ed575df1a3476b20668ab3b,113bdaf5255ce5a458057ebf9975befb,silvianopolis
dc0a596a36f033e89eeecbbbaa5603e9,8dfb24fac32ec7170821d2be63fa9c1c,pocos de caldas
154e666b681104319714a99a3ab71e44,be1e99a0c57d7c3c699cfc4db26c8edf,contagem
